Category,Type,SubTypeField,operation,SubType,,,
Azure Storage Account,StorageFileLogs,,,,,,
Azure Storage Account,AzureMetrics,ResourceProvider,=,MICROSOFT.STORAGE,,,
Azure SQL Databases,AzureDiagnostics,ResourceType,=,SERVERS/DATABASES,,,
Microsoft Defender for Office 365,SecurityAlert,ProductName,in~,Office 365 Advanced Threat Protection|Microsoft 365 Defender|OATP,,,
Microsoft 365,OfficeActivity,OfficeWorkload,in~,Exchange|MicrosoftTeams|SharePoint|OneDrive,,,
Azure Web Application Firewall (WAF),AzureDiagnostics,ResourceType,in~,APPLICATIONGATEWAYS|CDNWEBAPPLICATIONFIREWALLPOLICIES|FRONTDOORS,,,
Microsoft Purview,PurviewDataSensitivityLogs,,,,,,
Microsoft Purview Information Protection,MicrosoftPurviewInformationProtection,,,,,,
Microsoft 365 Insider Risk Management,SecurityAlert,ProductName,=,Microsoft 365 Insider Risk Management,,,
Oracle Database Audit,OracleDatabaseAuditEvent,,,,,,
Palo Alto Networks,CommonSecurityLog,DeviceVendor,=,Palo Alto Networks,,,
SAP, SAPConnectorOverview(),,,,,,
